Cnt,Term Code,Cat Course,Subj Code,Crse Numb,Csta Code,Title,Long Course Title,Crse Eff Term,Credit High Hrs,Credit Low Hrs,Coll Code,Coll Desc,Dept Code,Dept Desc,Cat Preq Term Code Eff,Cat Preq Seqno,Cat Preq Connector,Cat Preq Conn Desc,Cat Preq Lparen,Cat Preq Course,Cat Preq Subj Code,Cat Preq Crse Numb,Cat Preq Levl Code,Cat Preq Min Grde,Preq,Cat Preq Concurrency Ind,Cat Preq Rparen,Cat Preq Tesc Code,Cat Preq Test Score,one,Process Date
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,1,,,,,1,07/19/19 04:33 PM
1,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 101,BMES,101,A,BMES Des I,Introduction to BMES Design I – Defining Medical Problems,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 102,BMES,102,A,BMES FR Des II,Introduction to BMES Design II – Evaluating Design Solutions,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201815,1,,,,BMES 101,BMES,101,UG,D,,,,,,1,07/19/19 04:33 PM
1,201945,BMES 102,BMES,102,A,BMES FR Des II,Introduction to BMES Design II – Evaluating Design Solutions,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201815,1,,,,BMES 101,BMES,101,UG,D,,,,,,1,07/19/19 04:33 PM
,201945,BMES 102,BMES,102,A,BMES FR Des II,Introduction to BMES Design II – Evaluating Design Solutions,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201815,1,,,,BMES 101,BMES,101,UG,D,,,,,,1,07/19/19 04:33 PM
,201945,BMES 102,BMES,102,A,BMES FR Des II,Introduction to BMES Design II – Evaluating Design Solutions,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201815,1,,,,BMES 101,BMES,101,UG,D,,,,,,1,07/19/19 04:33 PM
,201945,BMES 102,BMES,102,A,BMES FR Des II,Introduction to BMES Design II – Evaluating Design Solutions,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201815,1,,,,BMES 101,BMES,101,UG,D,1,,,,,1,07/19/19 04:33 PM
,201945,BMES 102,BMES,102,A,BMES FR Des II,Introduction to BMES Design II – Evaluating Design Solutions,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201815,1,,,,BMES 101,BMES,101,UG,D,,,,,,1,07/19/19 04:33 PM
,201945,BMES 102,BMES,102,A,BMES FR Des II,Introduction to BMES Design II – Evaluating Design Solutions,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201815,1,,,,BMES 101,BMES,101,UG,D,,,,,,1,07/19/19 04:33 PM
,201945,BMES 102,BMES,102,A,BMES FR Des II,Introduction to BMES Design II – Evaluating Design Solutions,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201815,1,,,,BMES 101,BMES,101,UG,D,,,,,,1,07/19/19 04:33 PM
,201945,BMES 102,BMES,102,A,BMES FR Des II,Introduction to BMES Design II – Evaluating Design Solutions,201815,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201815,1,,,,BMES 101,BMES,101,UG,D,,,,,,1,07/19/19 04:33 PM
1,201945,BMES 124,BMES,124,A,BME Freshman Seminar I,Biomedical Engineering Freshman Seminar I,201815,,2,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,1,,,,,1,07/19/19 04:33 PM
1,201945,BMES 125,BMES,125,A,Foundns of Biomed Engineering,Foundations of Biomedical Engineering,200315,,2,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 125,BMES,125,A,Foundns of Biomed Engineering,Foundations of Biomedical Engineering,200315,,2,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,,,,,, ,,,,,1,,,,,1,07/19/19 04:33 PM
1,201945,BMES 126,BMES,126,A,BME Freshman Seminar II,Biomedical Engineering Freshman Seminar II,201115,,1,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201215,,,,, ,,,,,1,,,,,1,07/19/19 04:33 PM
1,201945,BMES 130,BMES,130,A,Problem Solving in Biomed. Eng,Problem Solving in Biomedical Engineering,201515,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201515,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 130,BMES,130,A,Problem Solving in Biomed. Eng,Problem Solving in Biomedical Engineering,201515,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201515,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 130,BMES,130,A,Problem Solving in Biomed. Eng,Problem Solving in Biomedical Engineering,201515,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201515,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 130,BMES,130,A,Problem Solving in Biomed. Eng,Problem Solving in Biomedical Engineering,201515,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201515,,,,, ,,,,,1,,,,,1,07/19/19 04:33 PM
,201945,BMES 130,BMES,130,A,Problem Solving in Biomed. Eng,Problem Solving in Biomedical Engineering,201515,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201515,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 130,BMES,130,A,Problem Solving in Biomed. Eng,Problem Solving in Biomedical Engineering,201515,2,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201515,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 201,BMES,201,A,Program & Modeling for BME I,Programming and Modeling for Biomedical Engineers I,201615,3,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201815,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
1,201945,BMES 201,BMES,201,A,Program & Modeling for BME I,Programming and Modeling for Biomedical Engineers I,201615,3,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201815,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 201,BMES,201,A,Program & Modeling for BME I,Programming and Modeling for Biomedical Engineers I,201615,3,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201815,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 201,BMES,201,A,Program & Modeling for BME I,Programming and Modeling for Biomedical Engineers I,201615,3,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201815,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 201,BMES,201,A,Program & Modeling for BME I,Programming and Modeling for Biomedical Engineers I,201615,3,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201815,,,,, ,,,,,,,,,,1,07/19/19 04:33 PM
,201945,BMES 201,BMES,201,A,Program & Modeling for BME I,Programming and Modeling for Biomedical Engineers I,201615,3,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201815,,,,, ,,,,,1,,,,,1,07/19/19 04:33 PM
,201945,BMES 202,BMES,202,A,Program. & Modeling for BME II,Programming and Modeling for Biomedical Engineers ll,201615,3,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201215,2,,,,BMES 201,BMES,201,UG,D,,,,,,1,07/19/19 04:33 PM
,201945,BMES 202,BMES,202,A,Program. & Modeling for BME II,Programming and Modeling for Biomedical Engineers ll,201615,3,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201215,2,,,,BMES 201,BMES,201,UG,D,,,,,,1,07/19/19 04:33 PM
1,201945,BMES 202,BMES,202,A,Program. & Modeling for BME II,Programming and Modeling for Biomedical Engineers ll,201615,3,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201215,2,,,,BMES 201,BMES,201,UG,D,,,,,,1,07/19/19 04:33 PM
,201945,BMES 202,BMES,202,A,Program. & Modeling for BME II,Programming and Modeling for Biomedical Engineers ll,201615,3,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201215,2,,,,BMES 201,BMES,201,UG,D,,,,,,1,07/19/19 04:33 PM
,201945,BMES 202,BMES,202,A,Program. & Modeling for BME II,Programming and Modeling for Biomedical Engineers ll,201615,3,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201215,2,,,,BMES 201,BMES,201,UG,D,1,,,,,1,07/19/19 04:33 PM
,201945,BMES 202,BMES,202,A,Program. & Modeling for BME II,Programming and Modeling for Biomedical Engineers ll,201615,3,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201215,2,,,,BMES 201,BMES,201,UG,D,,,,,,1,07/19/19 04:33 PM
,201945,BMES 212,BMES,212,A,The Body Synthetic,The Body Synthetic,200815,,3,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201615,6,,,,BIO 122,BIO,122,UG,D,1,,,,,1,07/19/19 04:33 PM
1,201945,BMES 212,BMES,212,A,The Body Synthetic,The Body Synthetic,200815,,3,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,201615,6,,,,BIO 122,BIO,122,UG,D,,,,,,1,07/19/19 04:33 PM
,201945,BMES 221,BMES,221,I,Engr Principles Living Sys I,Engineering Principles of Living Systems I,200815,4,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,200815,5,O,Or,,BIO 122,BIO,122,UG,C,1,,,,,1,07/19/19 04:33 PM
,201945,BMES 221,BMES,221,I,Engr Principles Living Sys I,Engineering Principles of Living Systems I,200815,4,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,200815,1,,,,TDEC 122,TDEC,122,UG,C,1,,,,,1,07/19/19 04:33 PM
,201945,BMES 221,BMES,221,I,Engr Principles Living Sys I,Engineering Principles of Living Systems I,200815,4,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,200815,1,,,,TDEC 122,TDEC,122,UG,C,1,,,,,1,07/19/19 04:33 PM
,201945,BMES 221,BMES,221,I,Engr Principles Living Sys I,Engineering Principles of Living Systems I,200815,4,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,200815,3,O,Or,,BMES 480,BMES,480,UG,C,1,,,,,1,07/19/19 04:33 PM
,201945,BMES 221,BMES,221,I,Engr Principles Living Sys I,Engineering Principles of Living Systems I,200815,4,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,200815,3,O,Or,,BMES 480,BMES,480,UG,C,1,,,,,1,07/19/19 04:33 PM
,201945,BMES 221,BMES,221,I,Engr Principles Living Sys I,Engineering Principles of Living Systems I,200815,4,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,200815,5,O,Or,,BIO 122,BIO,122,UG,C,1,,,,,1,07/19/19 04:33 PM
,201945,BMES 221,BMES,221,I,Engr Principles Living Sys I,Engineering Principles of Living Systems I,200815,4,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,200815,1,,,,TDEC 122,TDEC,122,UG,C,1,,,,,1,07/19/19 04:33 PM
,201945,BMES 221,BMES,221,I,Engr Principles Living Sys I,Engineering Principles of Living Systems I,200815,4,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,200815,1,,,,TDEC 122,TDEC,122,UG,C,1,,,,,1,07/19/19 04:33 PM
,201945,BMES 221,BMES,221,I,Engr Principles Living Sys I,Engineering Principles of Living Systems I,200815,4,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,200815,5,O,Or,,BIO 122,BIO,122,UG,C,,,,,,1,07/19/19 04:33 PM
,201945,BMES 221,BMES,221,I,Engr Principles Living Sys I,Engineering Principles of Living Systems I,200815,4,0,R,"Sch.of Biomed Engr,Sci & Hlth",3850,Sch of Biomedical Engineering,200815,5,O,Or,,BIO 122,BIO,122,UG,C,1,,,,,1,07/19/19 04:33 PM
